DEFB128	ENSG00000185982	ENSP00000335382
MYO10	ENSG00000145555	ENSP00000421280
GRK5	ENSG00000198873	ENSP00000376609
RSL1D1	ENSG00000171490	ENSP00000460871
ARID4A	ENSG00000032219	ENSP00000347602
ENTPD2	ENSG00000054179	ENSP00000347213
CPSF6	ENSG00000111605	ENSP00000266679
UTP6	ENSG00000108651	ENSP00000261708
PIP4P1	ENSG00000165782	ENSP00000381102
RAB19	ENSG00000146955	ENSP00000440167
GPHN	ENSG00000171723	ENSP00000417901
IL21R	ENSG00000103522	ENSP00000338010
PODXL	ENSG00000128567	ENSP00000367817
ADAMTS10	ENSG00000142303	ENSP00000270328
PLCB4	ENSG00000101333	ENSP00000367762
DUSP6	ENSG00000139318	ENSP00000279488
GNGT1	ENSG00000127928	ENSP00000248572
NT5C2	ENSG00000076685	ENSP00000339479
FOSL2	ENSG00000075426	ENSP00000264716
PPIL4	ENSG00000131013	ENSP00000253329
ZNF627	ENSG00000198551	ENSP00000354414
USP17L10	ENSG00000231396	ENSP00000403760
TUBD1	ENSG00000108423	ENSP00000320797
TAS2R3	ENSG00000127362	ENSP00000247879
SEPTIN3	ENSG00000100167	ENSP00000379704
ERGIC3	ENSG00000125991	ENSP00000349970
GPRASP2	ENSG00000158301	ENSP00000437872
ZFYVE28	ENSG00000159733	ENSP00000290974
TALDO1	ENSG00000177156	ENSP00000321259
GSTA3	ENSG00000174156	ENSP00000211122
FLI1	ENSG00000151702	ENSP00000433488
NKAPD1	ENSG00000150776	ENSP00000376767
IL18	ENSG00000150782	ENSP00000280357
ADAM21	ENSG00000139985	ENSP00000474385
DDO	ENSG00000203797	ENSP00000357920
SERPINB6	ENSG00000124570	ENSP00000484343
ZNF675	ENSG00000197372	ENSP00000352836
PLS3	ENSG00000102024	ENSP00000348163
CEBPG	ENSG00000153879	ENSP00000284000
UBD	ENSG00000213886	ENSP00000366249
RALYL	ENSG00000184672	ENSP00000430128
CHRNB3	ENSG00000147432	ENSP00000289957
TRIM23	ENSG00000113595	ENSP00000231524
ZFP90	ENSG00000184939	ENSP00000460547
RALGAPA1	ENSG00000174373	ENSP00000302647
PTCRA	ENSG00000171611	ENSP00000477815
PUSL1	ENSG00000169972	ENSP00000368318
MEA1	ENSG00000124733	ENSP00000244711
ABO	ENSG00000175164	ENSP00000483018
SLC9A2	ENSG00000115616	ENSP00000233969
ZNF230	ENSG00000159882	ENSP00000409318
CMAS	ENSG00000111726	ENSP00000229329
ITIH4	ENSG00000055955	ENSP00000266041
POMT2	ENSG00000009830	ENSP00000261534
CX3CL1	ENSG00000006210	ENSP00000006053
NDUFB2	ENSG00000090266	ENSP00000419087
ZNF664	ENSG00000179195	ENSP00000441405
PLG	ENSG00000122194	ENSP00000308938
SNX24	ENSG00000064652	ENSP00000261369
SMNDC1	ENSG00000119953	ENSP00000358616
VGLL3	ENSG00000206538	ENSP00000381436
MTOR	ENSG00000198793	ENSP00000354558
ANAPC4	ENSG00000053900	ENSP00000426654
LAPTM5	ENSG00000162511	ENSP00000294507
TAGLN	ENSG00000149591	ENSP00000432282
KYAT1	ENSG00000171097	ENSP00000399415
FBLIM1	ENSG00000162458	ENSP00000416387
YIPF5	ENSG00000145817	ENSP00000274496
PPARGC1B	ENSG00000155846	ENSP00000312649
TEDC1	ENSG00000185347	ENSP00000376307
RPL7	ENSG00000147604	ENSP00000339795
DERL1	ENSG00000136986	ENSP00000259512
METTL2B	ENSG00000165055	ENSP00000262432
TAS1R2	ENSG00000179002	ENSP00000364520
OR1N1	ENSG00000171505	ENSP00000306974
PIP4K2C	ENSG00000166908	ENSP00000347032
ARHGEF25	ENSG00000240771	ENSP00000335560
HECTD2	ENSG00000165338	ENSP00000401023
FOXK2	ENSG00000141568	ENSP00000335677
IFIT1B	ENSG00000204010	ENSP00000360874
TTC9C	ENSG00000162222	ENSP00000325266
ACOX2	ENSG00000168306	ENSP00000307697
RPL18A	ENSG00000105640	ENSP00000222247
LIPA	ENSG00000107798	ENSP00000337354
SRPRA	ENSG00000182934	ENSP00000328023
TRPV6	ENSG00000165125	ENSP00000352358
PSMB8	ENSG00000204264	ENSP00000364016
FBN2	ENSG00000138829	ENSP00000424571
LYVE1	ENSG00000133800	ENSP00000256178
TFR2	ENSG00000106327	ENSP00000420525
JPH1	ENSG00000104369	ENSP00000344488
KDELR2	ENSG00000136240	ENSP00000258739
RPL37A	ENSG00000197756	ENSP00000418082
PEX11A	ENSG00000166821	ENSP00000300056
GDAP1	ENSG00000104381	ENSP00000220822
TDRD9	ENSG00000156414	ENSP00000387303
DGKB	ENSG00000136267	ENSP00000385780
SIGIRR	ENSG00000185187	ENSP00000403104
CASP2	ENSG00000106144	ENSP00000312664
PFAS	ENSG00000178921	ENSP00000313490
MAD2L2	ENSG00000116670	ENSP00000235310
CDK10	ENSG00000185324	ENSP00000338673
CHRAC1	ENSG00000104472	ENSP00000220913
COL5A3	ENSG00000080573	ENSP00000264828
MRPL4	ENSG00000105364	ENSP00000253099
DNAI3	ENSG00000162643	ENSP00000294664
CNR1	ENSG00000118432	ENSP00000358513
LY6H	ENSG00000176956	ENSP00000399485
NHP2	ENSG00000145912	ENSP00000274606
STXBP6	ENSG00000168952	ENSP00000324302
EYA4	ENSG00000112319	ENSP00000432770
P3H2	ENSG00000090530	ENSP00000316881
AMZ1	ENSG00000174945	ENSP00000308149
ZNF679	ENSG00000197123	ENSP00000416809
OR8H2	ENSG00000181767	ENSP00000323982
CENATAC	ENSG00000186166	ENSP00000334767
PFDN1	ENSG00000113068	ENSP00000261813
SRP19	ENSG00000153037	ENSP00000424870
WDR54	ENSG00000005448	ENSP00000006526
THRB	ENSG00000151090	ENSP00000379904
MCU	ENSG00000156026	ENSP00000362144
CHRND	ENSG00000135902	ENSP00000258385
H2AC14	ENSG00000276368	ENSP00000328484
KIF25	ENSG00000125337	ENSP00000388878
CXCL5	ENSG00000163735	ENSP00000296027
RMDN2	ENSG00000115841	ENSP00000234195
SEPTIN7	ENSG00000122545	ENSP00000381992
RTN4RL1	ENSG00000185924	ENSP00000330631
ATP1A2	ENSG00000018625	ENSP00000354490
ALS2CL	ENSG00000178038	ENSP00000313670
DNAH11	ENSG00000105877	ENSP00000475939
UTP15	ENSG00000164338	ENSP00000296792
TNFAIP3	ENSG00000118503	ENSP00000481570
PTPRB	ENSG00000127329	ENSP00000334928
SCCPDH	ENSG00000143653	ENSP00000355467
CLDN16	ENSG00000113946	ENSP00000264734
GOT2	ENSG00000125166	ENSP00000245206
ADAMTS15	ENSG00000166106	ENSP00000299164
HSD11B1	ENSG00000117594	ENSP00000355995
NFRKB	ENSG00000170322	ENSP00000436926
CARHSP1	ENSG00000153048	ENSP00000379838
IL17RE	ENSG00000163701	ENSP00000373325
LAMTOR4	ENSG00000188186	ENSP00000343118
POLR2J	ENSG00000005075	ENSP00000292614
ARRB1	ENSG00000137486	ENSP00000409581
COP1	ENSG00000143207	ENSP00000356641
CCDC78	ENSG00000162004	ENSP00000293889
TAF8	ENSG00000137413	ENSP00000362068
GANC	ENSG00000214013	ENSP00000326227
PHF21A	ENSG00000135365	ENSP00000398824
ACY1	ENSG00000243989	ENSP00000384296
GLYCTK	ENSG00000168237	ENSP00000389175
KLF15	ENSG00000163884	ENSP00000296233
TFRC	ENSG00000072274	ENSP00000353224
DNAH5	ENSG00000039139	ENSP00000265104
HYOU1	ENSG00000149428	ENSP00000480150
PAGR1	ENSG00000280789	ENSP00000326519
CDC7	ENSG00000097046	ENSP00000393139
MACROH2A1	ENSG00000113648	ENSP00000423563
ACAD8	ENSG00000151498	ENSP00000281182
NECTIN2	ENSG00000130202	ENSP00000252483
DDX47	ENSG00000213782	ENSP00000350698
CENPS	ENSG00000175279	ENSP00000308583
SYT8	ENSG00000149043	ENSP00000371394
PEA15	ENSG00000162734	ENSP00000357055
IFT81	ENSG00000122970	ENSP00000242591
UBE2J2	ENSG00000160087	ENSP00000383719
GKN2	ENSG00000183607	ENSP00000329292
TNFRSF8	ENSG00000120949	ENSP00000263932
CNNM3	ENSG00000168763	ENSP00000305449
RIMBP2	ENSG00000060709	ENSP00000261655
ZNF691	ENSG00000164011	ENSP00000361580
ZNF772	ENSG00000197128	ENSP00000341165
TTC21A	ENSG00000168026	ENSP00000398211
CLEC4G	ENSG00000182566	ENSP00000327599
KIF5C	ENSG00000168280	ENSP00000393379
CYP26B1	ENSG00000003137	ENSP00000001146
INSL3	ENSG00000248099	ENSP00000369017
PLA2G2E	ENSG00000188784	ENSP00000364257
DEGS1	ENSG00000143753	ENSP00000316476
GUK1	ENSG00000143774	ENSP00000355689
UCHL5	ENSG00000116750	ENSP00000356425
CCDC121	ENSG00000176714	ENSP00000412150
SLC20A1	ENSG00000144136	ENSP00000272542
SRP9	ENSG00000143742	ENSP00000305230
ACTR1B	ENSG00000115073	ENSP00000289228
HPDL	ENSG00000186603	ENSP00000335060
OR2T33	ENSG00000177212	ENSP00000324687
DHRS9	ENSG00000073737	ENSP00000389241
NT5C1A	ENSG00000116981	ENSP00000235628
LCE3D	ENSG00000163202	ENSP00000357776
CYP4A22	ENSG00000162365	ENSP00000360958
H3C14	ENSG00000203811	ENSP00000358154
CAPZA1	ENSG00000116489	ENSP00000263168
CYP2J2	ENSG00000134716	ENSP00000360247
DEFB125	ENSG00000178591	ENSP00000371847
SCAF4	ENSG00000156304	ENSP00000286835
JKAMP	ENSG00000050130	ENSP00000450749
SYNJ1	ENSG00000159082	ENSP00000409667
CD40LG	ENSG00000102245	ENSP00000359663
GGA1	ENSG00000100083	ENSP00000341344
MORC4	ENSG00000133131	ENSP00000347821
PACSIN2	ENSG00000100266	ENSP00000263246
YWHAH	ENSG00000128245	ENSP00000248975
ARFGAP1	ENSG00000101199	ENSP00000314615
DEGS2	ENSG00000168350	ENSP00000307126
HSD17B3	ENSG00000130948	ENSP00000364412
CBX6	ENSG00000183741	ENSP00000384490
CNGA4	ENSG00000132259	ENSP00000369268
L1CAM	ENSG00000198910	ENSP00000359077
MMP9	ENSG00000100985	ENSP00000361405
NECAB3	ENSG00000125967	ENSP00000246190
UGT2B4	ENSG00000156096	ENSP00000305221
HMGA1	ENSG00000137309	ENSP00000399888
AFP	ENSG00000081051	ENSP00000379138
ZFP3	ENSG00000180787	ENSP00000320347
CCDC22	ENSG00000101997	ENSP00000365401
KCNA6	ENSG00000151079	ENSP00000280684
SLC2A3	ENSG00000059804	ENSP00000075120
TMED10	ENSG00000170348	ENSP00000303145
SERPINA3	ENSG00000196136	ENSP00000450540
RIMKLB	ENSG00000166532	ENSP00000350136
ABTB2	ENSG00000166016	ENSP00000410157
ARHGAP1	ENSG00000175220	ENSP00000310491
RORB	ENSG00000198963	ENSP00000366093
MCHR2	ENSG00000152034	ENSP00000281806
PNP	ENSG00000198805	ENSP00000354532
ALB	ENSG00000163631	ENSP00000295897
MPI	ENSG00000178802	ENSP00000318318
BBS9	ENSG00000122507	ENSP00000242067
PPIL2	ENSG00000100023	ENSP00000334553
CRNKL1	ENSG00000101343	ENSP00000366557
CAPN6	ENSG00000077274	ENSP00000317214
LACRT	ENSG00000135413	ENSP00000257867
NTF3	ENSG00000185652	ENSP00000397297
CXorf66	ENSG00000203933	ENSP00000359571
NDUFA1	ENSG00000125356	ENSP00000360492
DCAF11	ENSG00000100897	ENSP00000415556
RNF170	ENSG00000120925	ENSP00000445725
SPART	ENSG00000133104	ENSP00000414147
DERL3	ENSG00000099958	ENSP00000384744
SCAI	ENSG00000173611	ENSP00000362650
CTBP2	ENSG00000175029	ENSP00000311825
VPS51	ENSG00000149823	ENSP00000279281
LIPC	ENSG00000166035	ENSP00000299022
FZD4	ENSG00000174804	ENSP00000434034
NRG3	ENSG00000185737	ENSP00000361214
ARL4D	ENSG00000175906	ENSP00000322628
NFIC	ENSG00000141905	ENSP00000396843
NRGN	ENSG00000154146	ENSP00000284292
ERLIN1	ENSG00000107566	ENSP00000410964
ATAD5	ENSG00000176208	ENSP00000313171
PSD	ENSG00000059915	ENSP00000020673
WASHC2A	ENSG00000099290	ENSP00000282633
HIBADH	ENSG00000106049	ENSP00000265395
KRT83	ENSG00000170523	ENSP00000293670
AMOT	ENSG00000126016	ENSP00000361027
SUFU	ENSG00000107882	ENSP00000358918
GNAI1	ENSG00000127955	ENSP00000343027
CD82	ENSG00000085117	ENSP00000227155
ZNF440	ENSG00000171295	ENSP00000305373
EDF1	ENSG00000107223	ENSP00000224073
CBLL1	ENSG00000105879	ENSP00000401277
PCGF6	ENSG00000156374	ENSP00000358862
DPP6	ENSG00000130226	ENSP00000367001
DGAT2	ENSG00000062282	ENSP00000228027
UTP18	ENSG00000011260	ENSP00000225298
STRN	ENSG00000115808	ENSP00000263918
GOSR2	ENSG00000108433	ENSP00000225567
FGF2	ENSG00000138685	ENSP00000264498
PEX13	ENSG00000162928	ENSP00000295030
ENPP3	ENSG00000154269	ENSP00000406261
ZNF782	ENSG00000196597	ENSP00000419397
FBLN5	ENSG00000140092	ENSP00000345008
TOX4	ENSG00000092203	ENSP00000477868
PBX4	ENSG00000105717	ENSP00000251203
C20orf202	ENSG00000215595	ENSP00000383474
RBMX2	ENSG00000134597	ENSP00000339090
ADAM10	ENSG00000137845	ENSP00000260408
WRNIP1	ENSG00000124535	ENSP00000370150
BRD1	ENSG00000100425	ENSP00000216267
SIX3	ENSG00000138083	ENSP00000260653
TCEAL4	ENSG00000133142	ENSP00000361712
OR13F1	ENSG00000186881	ENSP00000334452
WWP1	ENSG00000123124	ENSP00000427793
CHST8	ENSG00000124302	ENSP00000262622
E2F7	ENSG00000165891	ENSP00000323246
MYH7B	ENSG00000078814	ENSP00000262873
RRAGA	ENSG00000155876	ENSP00000369899
FANCG	ENSG00000221829	ENSP00000367910
MAP1LC3B	ENSG00000140941	ENSP00000268607
PEX6	ENSG00000124587	ENSP00000303511
NAA40	ENSG00000110583	ENSP00000367024
SPSB1	ENSG00000171621	ENSP00000330221
WDR86	ENSG00000187260	ENSP00000419162
FNTB	ENSG00000257365	ENSP00000246166
CLTA	ENSG00000122705	ENSP00000242285
KIR2DL3	ENSG00000243772	ENSP00000342215
CELA2A	ENSG00000142615	ENSP00000352639
NUDT7	ENSG00000140876	ENSP00000268533
USB1	ENSG00000103005	ENSP00000219281
NCALD	ENSG00000104490	ENSP00000379256
DNASE1L1	ENSG00000013563	ENSP00000358824
CNTN1	ENSG00000018236	ENSP00000447006
ZSCAN25	ENSG00000197037	ENSP00000377708
RPS6KA3	ENSG00000177189	ENSP00000368884
GPR3	ENSG00000181773	ENSP00000363136
SLC30A2	ENSG00000158014	ENSP00000363394
THG1L	ENSG00000113272	ENSP00000231198
DENND6A	ENSG00000174839	ENSP00000311401
TBCC	ENSG00000124659	ENSP00000361967
SNRNP40	ENSG00000060688	ENSP00000263694
P2RX7	ENSG00000089041	ENSP00000330696
NCOA2	ENSG00000140396	ENSP00000399968
SBSPON	ENSG00000164764	ENSP00000297354
NDFIP1	ENSG00000131507	ENSP00000253814
UQCRC2	ENSG00000140740	ENSP00000268379
TMED7-TICAM2	ENSG00000251201	ENSP00000282382
SLC25A25	ENSG00000148339	ENSP00000362159
SPRED2	ENSG00000198369	ENSP00000348753
CDK4	ENSG00000135446	ENSP00000257904
CSNK1G1	ENSG00000169118	ENSP00000305777
PAAF1	ENSG00000175575	ENSP00000311665
IFT57	ENSG00000114446	ENSP00000264538
GRK4	ENSG00000125388	ENSP00000381129
ALDH3A1	ENSG00000108602	ENSP00000411821
DNAH7	ENSG00000118997	ENSP00000311273
ACTL6B	ENSG00000077080	ENSP00000160382
BCO1	ENSG00000135697	ENSP00000258168
PDPR	ENSG00000090857	ENSP00000288050
ALAD	ENSG00000148218	ENSP00000386284
STEAP3	ENSG00000115107	ENSP00000376822
H1-5	ENSG00000184357	ENSP00000330074
PLCZ1	ENSG00000139151	ENSP00000266505
CCDC88C	ENSG00000015133	ENSP00000374507
RAB18	ENSG00000099246	ENSP00000478479
PLA2G15	ENSG00000103066	ENSP00000219345
WNT6	ENSG00000115596	ENSP00000233948
NODAL	ENSG00000156574	ENSP00000287139
CD6	ENSG00000013725	ENSP00000323280
ZNF2	ENSG00000275111	ENSP00000480297
DMAP1	ENSG00000178028	ENSP00000361363
BTN3A1	ENSG00000026950	ENSP00000289361
RIC1	ENSG00000107036	ENSP00000416696
ZNF579	ENSG00000218891	ENSP00000320188
SORT1	ENSG00000134243	ENSP00000256637
ICAM5	ENSG00000105376	ENSP00000221980
HS3ST3B1	ENSG00000125430	ENSP00000354213
ST6GALNAC2	ENSG00000070731	ENSP00000225276
SHQ1	ENSG00000144736	ENSP00000315182
BCAS2	ENSG00000116752	ENSP00000358554
TRIM50	ENSG00000146755	ENSP00000327994
YEATS2	ENSG00000163872	ENSP00000306983
COL9A1	ENSG00000112280	ENSP00000349790
CACNB2	ENSG00000165995	ENSP00000320025
ATXN1	ENSG00000124788	ENSP00000244769
PCDHA12	ENSG00000251664	ENSP00000381628
UNK	ENSG00000132478	ENSP00000464893
WBP2	ENSG00000132471	ENSP00000467579
HBEGF	ENSG00000113070	ENSP00000230990
TMEM67	ENSG00000164953	ENSP00000389998
IRAK2	ENSG00000134070	ENSP00000256458
MAP7	ENSG00000135525	ENSP00000482335
FMO5	ENSG00000131781	ENSP00000254090
KCNN3	ENSG00000143603	ENSP00000481848
FBXL13	ENSG00000161040	ENSP00000321927
RBM4	ENSG00000173933	ENSP00000386894
RAB7A	ENSG00000075785	ENSP00000265062
AGPAT5	ENSG00000155189	ENSP00000285518
UTP23	ENSG00000147679	ENSP00000308332
COPS7B	ENSG00000144524	ENSP00000362710
ADAM2	ENSG00000104755	ENSP00000265708
TCEA1	ENSG00000187735	ENSP00000428426
KIRREL2	ENSG00000126259	ENSP00000353331
ZNF556	ENSG00000172000	ENSP00000302603
PLCD1	ENSG00000187091	ENSP00000430344
FUT4	ENSG00000196371	ENSP00000351602
OR6M1	ENSG00000196099	ENSP00000311038
SPSB2	ENSG00000111671	ENSP00000428338
WNT2	ENSG00000105989	ENSP00000265441
MOCS2	ENSG00000164172	ENSP00000380157
RUFY1	ENSG00000176783	ENSP00000325594
PACRG	ENSG00000112530	ENSP00000337946
NIFK	ENSG00000155438	ENSP00000285814
ZNF207	ENSG00000010244	ENSP00000378165
H2BC13	ENSG00000185130	ENSP00000366618
USP49	ENSG00000164663	ENSP00000377797
ALG1	ENSG00000033011	ENSP00000262374
RPS14	ENSG00000164587	ENSP00000385958
SLC35A1	ENSG00000164414	ENSP00000358565
ERMN	ENSG00000136541	ENSP00000380453
SCN4A	ENSG00000007314	ENSP00000396320
RAD9B	ENSG00000151164	ENSP00000376440
SOCS1	ENSG00000185338	ENSP00000329418
FUT6	ENSG00000156413	ENSP00000313398
CACTIN	ENSG00000105298	ENSP00000415078
RFX2	ENSG00000087903	ENSP00000306335
KANSL1	ENSG00000120071	ENSP00000262419
KDM6B	ENSG00000132510	ENSP00000254846
KRT33B	ENSG00000131738	ENSP00000251646
CACNA2D2	ENSG00000007402	ENSP00000418081
SERTAD4	ENSG00000082497	ENSP00000355979
ANAPC15	ENSG00000110200	ENSP00000439403
OPA1	ENSG00000198836	ENSP00000354681
SAA1	ENSG00000173432	ENSP00000384906
ABR	ENSG00000159842	ENSP00000303909
TF	ENSG00000091513	ENSP00000385834
PGD	ENSG00000142657	ENSP00000270776
USP13	ENSG00000058056	ENSP00000263966
DUSP16	ENSG00000111266	ENSP00000298573
NWD1	ENSG00000188039	ENSP00000428579
SLC26A2	ENSG00000155850	ENSP00000286298
FGF6	ENSG00000111241	ENSP00000228837
SMARCA4	ENSG00000127616	ENSP00000395654
KLK12	ENSG00000186474	ENSP00000250351
BMP10	ENSG00000163217	ENSP00000295379
UBE2G1	ENSG00000132388	ENSP00000380178
UFC1	ENSG00000143222	ENSP00000356982
DUS3L	ENSG00000141994	ENSP00000311977
RPS8	ENSG00000142937	ENSP00000379888
HEATR1	ENSG00000119285	ENSP00000355541
GCN1	ENSG00000089154	ENSP00000300648
DISP1	ENSG00000154309	ENSP00000284476
OR5K2	ENSG00000231861	ENSP00000393889
CRTC2	ENSG00000160741	ENSP00000357622
IL12A	ENSG00000168811	ENSP00000303231
OR14C36	ENSG00000177174	ENSP00000324534
MKNK1	ENSG00000079277	ENSP00000361014
PCBP1	ENSG00000169564	ENSP00000305556
UBXN4	ENSG00000144224	ENSP00000272638
ATP8B2	ENSG00000143515	ENSP00000357475
DENND1B	ENSG00000213047	ENSP00000479816
RCC1	ENSG00000180198	ENSP00000362937
IFNLR1	ENSG00000185436	ENSP00000327824
PYGO2	ENSG00000163348	ENSP00000357442
FLAD1	ENSG00000160688	ENSP00000292180
DHDDS	ENSG00000117682	ENSP00000353104
DVL1	ENSG00000107404	ENSP00000368169
HSD17B7	ENSG00000132196	ENSP00000254521
RYR2	ENSG00000198626	ENSP00000355533
MRTO4	ENSG00000053372	ENSP00000364320
APOBEC4	ENSG00000173627	ENSP00000310622
PRKCZ	ENSG00000067606	ENSP00000367830
GPCPD1	ENSG00000125772	ENSP00000368305
SLC25A6	ENSG00000169100	ENSP00000370808
AMELX	ENSG00000125363	ENSP00000370088
DHRSX	ENSG00000169084	ENSP00000334113
OTC	ENSG00000036473	ENSP00000039007
SEC11C	ENSG00000166562	ENSP00000468633
IGLL1	ENSG00000128322	ENSP00000329312
FKBP3	ENSG00000100442	ENSP00000216330
ARHGAP6	ENSG00000047648	ENSP00000338967
AK7	ENSG00000140057	ENSP00000267584
CARD19	ENSG00000165233	ENSP00000364613
KIF13A	ENSG00000137177	ENSP00000259711
MIEF1	ENSG00000100335	ENSP00000327124
PCCA	ENSG00000175198	ENSP00000365462
ADAMTS3	ENSG00000156140	ENSP00000286657
MYLK2	ENSG00000101306	ENSP00000365162
MIB1	ENSG00000101752	ENSP00000261537
RNF113B	ENSG00000139797	ENSP00000267291
RNF138	ENSG00000134758	ENSP00000261593
ELOVL5	ENSG00000012660	ENSP00000359956
XRCC6	ENSG00000196419	ENSP00000352257
EMC6	ENSG00000127774	ENSP00000380322
RBM39	ENSG00000131051	ENSP00000253363
DHX33	ENSG00000005100	ENSP00000225296
SFRP5	ENSG00000120057	ENSP00000266066
STAU1	ENSG00000124214	ENSP00000360922
VWC2	ENSG00000188730	ENSP00000341819
SMAD7	ENSG00000101665	ENSP00000262158
RASSF6	ENSG00000169435	ENSP00000340578
RBCK1	ENSG00000125826	ENSP00000348632
PIGW	ENSG00000277161	ENSP00000482202
MRPL16	ENSG00000166902	ENSP00000300151
DDIT4L	ENSG00000145358	ENSP00000354830
TCF7L2	ENSG00000148737	ENSP00000358404
	ENSG00000249773	ENSP00000390331
SEMA3A	ENSG00000075213	ENSP00000265362
NDUFAF5	ENSG00000101247	ENSP00000367346
SAMHD1	ENSG00000101347	ENSP00000262878
SERPINE1	ENSG00000106366	ENSP00000223095
PON1	ENSG00000005421	ENSP00000222381
SHTN1	ENSG00000187164	ENSP00000347532
LZTS1	ENSG00000061337	ENSP00000370981
RBMS2	ENSG00000076067	ENSP00000262031
ROPN1L	ENSG00000145491	ENSP00000421405
LRAT	ENSG00000121207	ENSP00000337224
SEMA3C	ENSG00000075223	ENSP00000265361
CFD	ENSG00000197766	ENSP00000332139
PDE2A	ENSG00000186642	ENSP00000334910
RND2	ENSG00000108830	ENSP00000466680
STARD6	ENSG00000174448	ENSP00000462349
CHRNA3	ENSG00000080644	ENSP00000315602
HPSE2	ENSG00000172987	ENSP00000359583
FUT7	ENSG00000180549	ENSP00000318142
VEGFC	ENSG00000150630	ENSP00000480043
GGT5	ENSG00000099998	ENSP00000381340
PPIL6	ENSG00000185250	ENSP00000392257
UBASH3B	ENSG00000154127	ENSP00000284273
TLE2	ENSG00000065717	ENSP00000466542
HEXB	ENSG00000049860	ENSP00000261416
MAP3K4	ENSG00000085511	ENSP00000375986
SNUPN	ENSG00000169371	ENSP00000454852
SLC26A3	ENSG00000091138	ENSP00000345873
TRAPPC13	ENSG00000113597	ENSP00000409231
RDH12	ENSG00000139988	ENSP00000449079
HAAO	ENSG00000162882	ENSP00000294973
DYNLT2	ENSG00000184786	ENSP00000355736
DNAAF8	ENSG00000166246	ENSP00000299320
MAGT1	ENSG00000102158	ENSP00000354649
BABAM1	ENSG00000105393	ENSP00000352408
RHEB	ENSG00000106615	ENSP00000262187
FABP5	ENSG00000164687	ENSP00000297258
NSMCE1	ENSG00000169189	ENSP00000355077
SLC32A1	ENSG00000101438	ENSP00000217420
DECR1	ENSG00000104325	ENSP00000220764
SELENOP	ENSG00000250722	ENSP00000420939
CARD6	ENSG00000132357	ENSP00000254691
PRC1	ENSG00000198901	ENSP00000377793
STAG2	ENSG00000101972	ENSP00000218089
FBXO34	ENSG00000178974	ENSP00000313159
MYRIP	ENSG00000170011	ENSP00000301972
RPL9	ENSG00000163682	ENSP00000400467
RFTN1	ENSG00000131378	ENSP00000334153
IL9R	ENSG00000124334	ENSP00000244174
GALT	ENSG00000213930	ENSP00000368119
DCUN1D2	ENSG00000150401	ENSP00000417706
C11orf49	ENSG00000149179	ENSP00000367878
SLC27A5	ENSG00000083807	ENSP00000263093
LEO1	ENSG00000166477	ENSP00000299601
ZNF45	ENSG00000124459	ENSP00000269973
MTERF3	ENSG00000156469	ENSP00000287025
CYBA	ENSG00000051523	ENSP00000261623
ALK	ENSG00000171094	ENSP00000373700
HMGCS1	ENSG00000112972	ENSP00000322706
HAMP	ENSG00000105697	ENSP00000471894
NCOR2	ENSG00000196498	ENSP00000384018
SDCBP	ENSG00000137575	ENSP00000260130
PLA2G1B	ENSG00000170890	ENSP00000312286
TMEM258	ENSG00000134825	ENSP00000443216
WASHC5	ENSG00000164961	ENSP00000318016
GBE1	ENSG00000114480	ENSP00000410833
ST8SIA4	ENSG00000113532	ENSP00000231461
H4C4	ENSG00000277157	ENSP00000479461
REXO2	ENSG00000076043	ENSP00000265881
DMBT1	ENSG00000187908	ENSP00000357905
NECAP2	ENSG00000157191	ENSP00000391942
OR1F1	ENSG00000168124	ENSP00000305424
CLUAP1	ENSG00000103351	ENSP00000460850
ACSL1	ENSG00000151726	ENSP00000422607
MRPL21	ENSG00000197345	ENSP00000354580
ZNF593	ENSG00000142684	ENSP00000363384
PRDM6	ENSG00000061455	ENSP00000384725
ZMYND10	ENSG00000004838	ENSP00000231749
SH3D19	ENSG00000109686	ENSP00000302913
PRSS3	ENSG00000010438	ENSP00000354280
INHBE	ENSG00000139269	ENSP00000266646
ANAPC16	ENSG00000166295	ENSP00000477760
TSFM	ENSG00000123297	ENSP00000313877
POLR2G	ENSG00000168002	ENSP00000301788
MRPS18A	ENSG00000096080	ENSP00000361206
OXCT2	ENSG00000198754	ENSP00000361914
NOP14	ENSG00000087269	ENSP00000405068
MSRB3	ENSG00000174099	ENSP00000347324
RPS6KB2	ENSG00000175634	ENSP00000308413
WASHC4	ENSG00000136051	ENSP00000484713
PLD3	ENSG00000105223	ENSP00000387050
ALDH7A1	ENSG00000164904	ENSP00000387123
SNRPN	ENSG00000128739	ENSP00000382972
TRIM31	ENSG00000204616	ENSP00000365924
PRPF8	ENSG00000174231	ENSP00000460348
GNG12	ENSG00000172380	ENSP00000360021
WNK2	ENSG00000165238	ENSP00000297954
TUBA1B	ENSG00000123416	ENSP00000336799
COPS7A	ENSG00000111652	ENSP00000438115
HGSNAT	ENSG00000165102	ENSP00000368965
ZFP2	ENSG00000198939	ENSP00000354453
CCND2	ENSG00000118971	ENSP00000261254
GDF11	ENSG00000135414	ENSP00000257868
SH3GLB1	ENSG00000097033	ENSP00000479919
ZNF585A	ENSG00000196967	ENSP00000292841
H1-3	ENSG00000124575	ENSP00000244534
ENY2	ENSG00000120533	ENSP00000429986
VDR	ENSG00000111424	ENSP00000447173
ZNF546	ENSG00000187187	ENSP00000339823
