DEFB128	ENSG00000185982	ENSP00000335382
GRIA1	ENSG00000155511	ENSP00000428994
ZNF843	ENSG00000176723	ENSP00000322899
TEAD3	ENSG00000007866	ENSP00000345772
BOK	ENSG00000176720	ENSP00000314132
CTSW	ENSG00000172543	ENSP00000311300
LANCL1	ENSG00000115365	ENSP00000388713
CCDC69	ENSG00000198624	ENSP00000347586
NELFE	ENSG00000204356	ENSP00000364578
OPN1SW	ENSG00000128617	ENSP00000249389
IZUMO1	ENSG00000182264	ENSP00000327786
DHX36	ENSG00000174953	ENSP00000417078
TRHR	ENSG00000174417	ENSP00000430711
RAD23A	ENSG00000179262	ENSP00000467024
GNB5	ENSG00000069966	ENSP00000261837
LRTOMT	ENSG00000284922	ENSP00000305742
OR2H2	ENSG00000204657	ENSP00000373136
MAN1A2	ENSG00000198162	ENSP00000348959
LPAR3	ENSG00000171517	ENSP00000395389
H4C3	ENSG00000197061	ENSP00000367034
IPO7	ENSG00000205339	ENSP00000369042
SMARCAL1	ENSG00000138375	ENSP00000349823
HNRNPF	ENSG00000169813	ENSP00000400433
KATNB1	ENSG00000140854	ENSP00000368982
LSM4	ENSG00000130520	ENSP00000469468
HOXA9	ENSG00000078399	ENSP00000343619
ZNF418	ENSG00000196724	ENSP00000379451
APBA2	ENSG00000034053	ENSP00000453293
GPD2	ENSG00000115159	ENSP00000308610
MVK	ENSG00000110921	ENSP00000443551
HOXA3	ENSG00000105997	ENSP00000484411
RPS28	ENSG00000233927	ENSP00000472469
PCDHA6	ENSG00000081842	ENSP00000433378
UNC13D	ENSG00000092929	ENSP00000207549
SPHK2	ENSG00000063176	ENSP00000245222
LCP2	ENSG00000043462	ENSP00000046794
EVPL	ENSG00000167880	ENSP00000301607
SPG11	ENSG00000104133	ENSP00000261866
PRKD3	ENSG00000115825	ENSP00000368356
MAGI3	ENSG00000081026	ENSP00000304604
ENOPH1	ENSG00000145293	ENSP00000273920
LRG1	ENSG00000171236	ENSP00000302621
ALPG	ENSG00000163286	ENSP00000295453
CSNK1G2	ENSG00000133275	ENSP00000255641
LMOD3	ENSG00000163380	ENSP00000414670
USP17L2	ENSG00000223443	ENSP00000333329
XCL2	ENSG00000143185	ENSP00000356793
SMG6	ENSG00000070366	ENSP00000263073
LAMC2	ENSG00000058085	ENSP00000264144
NBEAL2	ENSG00000160796	ENSP00000415034
RHAG	ENSG00000112077	ENSP00000360217
CDH1	ENSG00000039068	ENSP00000261769
PRDX6	ENSG00000117592	ENSP00000342026
SYT13	ENSG00000019505	ENSP00000020926
GLI2	ENSG00000074047	ENSP00000390436
TBX20	ENSG00000164532	ENSP00000386170
OR4D6	ENSG00000166884	ENSP00000300127
RNF13	ENSG00000082996	ENSP00000341361
MGA	ENSG00000174197	ENSP00000219905
NIPAL4	ENSG00000172548	ENSP00000311687
COX7A2	ENSG00000112695	ENSP00000359098
RELA	ENSG00000173039	ENSP00000384273
ADAMTS19	ENSG00000145808	ENSP00000274487
CDK2AP1	ENSG00000111328	ENSP00000261692
TCERG1	ENSG00000113649	ENSP00000296702
KCTD3	ENSG00000136636	ENSP00000259154
CD244	ENSG00000122223	ENSP00000357012
GTF2H1	ENSG00000110768	ENSP00000265963
