ppi,method,AveP,Prec@100,Prec@200
IID,RWR,0.088675 ± 0.002431,0.218000 ± 0.009965,0.191667 ± 0.007112
IID,RWR w/ GDC,0.069580 ± 0.002418,0.212333 ± 0.013566,0.176833 ± 0.010945
IID,mND,0.090937 ± 0.002195,0.193000 ± 0.014420,0.175333 ± 0.011442
IID,RWR w/ curvature,0.086769 ± 0.002249,0.208333 ± 0.014875,0.185333 ± 0.009908
IID,uKIN,0.091504 ± 0.002551,0.222667 ± 0.010483,0.196167 ± 0.011271
IID,uKIN w/ curvature,0.092445 ± 0.002548,0.228667 ± 0.017367,0.199333 ± 0.012507
IID,PWN w/o curvature,0.104957 ± 0.004754,0.282667 ± 0.022581,0.221167 ± 0.017003
IID,PWN,0.110032 ± 0.005195,0.291333 ± 0.025962,0.227333 ± 0.018087
