idx	rho	beta	gamma	method	metric	perf
7	0.2	-inf	-inf	mND	Prec@200	0.16
7	0.2	-inf	-inf	mND	AveP	0.08757352933125044
7	0.2	-inf	-inf	RWR	Prec@100	0.21
7	0.2	-inf	-inf	RWR	Prec@200	0.185
7	0.2	-inf	-inf	RWR	AveP	0.08330749507604515
8	0.2	-inf	-inf	Naive	Prec@100	0.0
8	0.2	-inf	-inf	Naive	Prec@200	0.005
8	0.2	-inf	-inf	Naive	AveP	0.025721709991921783
8	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.24
8	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.195
8	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07210648991436816
8	0.2	-inf	-inf	mND	Prec@100	0.22
8	0.2	-inf	-inf	mND	Prec@200	0.21
8	0.2	-inf	-inf	mND	AveP	0.0943077695729651
8	0.2	-inf	-inf	RWR	Prec@100	0.24
8	0.2	-inf	-inf	RWR	Prec@200	0.21
8	0.2	-inf	-inf	RWR	AveP	0.09071471998274605
9	0.2	-inf	-inf	Naive	Prec@100	0.0
9	0.2	-inf	-inf	Naive	Prec@200	0.01
9	0.2	-inf	-inf	Naive	AveP	0.026304684359095998
9	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
9	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.175
9	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07009376786639232
9	0.2	-inf	-inf	mND	Prec@100	0.19
9	0.2	-inf	-inf	mND	Prec@200	0.175
9	0.2	-inf	-inf	mND	AveP	0.0911554223797694
9	0.2	-inf	-inf	RWR	Prec@100	0.22
9	0.2	-inf	-inf	RWR	Prec@200	0.195
9	0.2	-inf	-inf	RWR	AveP	0.08795606177591561
10	0.2	-inf	-inf	Naive	Prec@100	0.0
10	0.2	-inf	-inf	Naive	Prec@200	0.01
10	0.2	-inf	-inf	Naive	AveP	0.02582193658449234
10	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
10	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.175
10	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06968378745272381
10	0.2	-inf	-inf	mND	Prec@100	0.18
10	0.2	-inf	-inf	mND	Prec@200	0.185
10	0.2	-inf	-inf	mND	AveP	0.09272566709937352
10	0.2	-inf	-inf	RWR	Prec@100	0.21
10	0.2	-inf	-inf	RWR	Prec@200	0.19
10	0.2	-inf	-inf	RWR	AveP	0.09090129783443177
11	0.2	-inf	-inf	Naive	Prec@100	0.0
11	0.2	-inf	-inf	Naive	Prec@200	0.01
11	0.2	-inf	-inf	Naive	AveP	0.026111785496389442
11	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
11	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.185
11	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07280518695614498
11	0.2	-inf	-inf	mND	Prec@100	0.21
11	0.2	-inf	-inf	mND	Prec@200	0.17
11	0.2	-inf	-inf	mND	AveP	0.0928682053199425
11	0.2	-inf	-inf	RWR	Prec@100	0.23
11	0.2	-inf	-inf	RWR	Prec@200	0.195
11	0.2	-inf	-inf	RWR	AveP	0.09265827643329141
12	0.2	-inf	-inf	Naive	Prec@100	0.0
12	0.2	-inf	-inf	Naive	Prec@200	0.01
12	0.2	-inf	-inf	Naive	AveP	0.025812375809278316
12	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
12	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.18
12	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07105274948023299
12	0.2	-inf	-inf	mND	Prec@100	0.2
12	0.2	-inf	-inf	mND	Prec@200	0.17
12	0.2	-inf	-inf	mND	AveP	0.09159743260946379
12	0.2	-inf	-inf	RWR	Prec@100	0.22
12	0.2	-inf	-inf	RWR	Prec@200	0.19
12	0.2	-inf	-inf	RWR	AveP	0.0893857599247859
13	0.2	-inf	-inf	Naive	Prec@100	0.0
13	0.2	-inf	-inf	Naive	Prec@200	0.01
13	0.2	-inf	-inf	Naive	AveP	0.025757443307580147
13	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.23
13	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.19
13	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07453601664263576
13	0.2	-inf	-inf	mND	Prec@100	0.2
13	0.2	-inf	-inf	mND	Prec@200	0.19
13	0.2	-inf	-inf	mND	AveP	0.09576210490913005
13	0.2	-inf	-inf	RWR	Prec@100	0.22
13	0.2	-inf	-inf	RWR	Prec@200	0.2
13	0.2	-inf	-inf	RWR	AveP	0.09413280180956259
14	0.2	-inf	-inf	Naive	Prec@100	0.0
14	0.2	-inf	-inf	Naive	Prec@200	0.005
14	0.2	-inf	-inf	Naive	AveP	0.025696236317001356
14	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
14	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.175
14	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06719288969060044
14	0.2	-inf	-inf	mND	Prec@100	0.18
14	0.2	-inf	-inf	mND	Prec@200	0.165
14	0.2	-inf	-inf	mND	AveP	0.08863154119147541
14	0.2	-inf	-inf	RWR	Prec@100	0.22
14	0.2	-inf	-inf	RWR	Prec@200	0.185
14	0.2	-inf	-inf	RWR	AveP	0.08572471369373025
15	0.2	-inf	-inf	Naive	Prec@100	0.0
15	0.2	-inf	-inf	Naive	Prec@200	0.005
15	0.2	-inf	-inf	Naive	AveP	0.025899766489713316
15	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.18
15	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.165
15	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0677420955024079
15	0.2	-inf	-inf	mND	Prec@100	0.18
15	0.2	-inf	-inf	mND	Prec@200	0.165
15	0.2	-inf	-inf	mND	AveP	0.0879915209277701
15	0.2	-inf	-inf	RWR	Prec@100	0.2
15	0.2	-inf	-inf	RWR	Prec@200	0.185
15	0.2	-inf	-inf	RWR	AveP	0.08625737509017765
16	0.2	-inf	-inf	Naive	Prec@100	0.0
16	0.2	-inf	-inf	Naive	Prec@200	0.01
16	0.2	-inf	-inf	Naive	AveP	0.026135582600621772
16	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
16	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.185
16	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07119940450866952
16	0.2	-inf	-inf	mND	Prec@100	0.19
16	0.2	-inf	-inf	mND	Prec@200	0.185
16	0.2	-inf	-inf	mND	AveP	0.09274745962530978
16	0.2	-inf	-inf	RWR	Prec@100	0.22
16	0.2	-inf	-inf	RWR	Prec@200	0.195
16	0.2	-inf	-inf	RWR	AveP	0.09052650352389349
17	0.2	-inf	-inf	Naive	Prec@100	0.0
17	0.2	-inf	-inf	Naive	Prec@200	0.01
17	0.2	-inf	-inf	Naive	AveP	0.025640421784398095
17	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
17	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.17
17	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06851426729560446
17	0.2	-inf	-inf	mND	Prec@100	0.2
17	0.2	-inf	-inf	mND	Prec@200	0.17
17	0.2	-inf	-inf	mND	AveP	0.09028219590708932
17	0.2	-inf	-inf	RWR	Prec@100	0.22
17	0.2	-inf	-inf	RWR	Prec@200	0.19
17	0.2	-inf	-inf	RWR	AveP	0.0878496631011142
18	0.2	-inf	-inf	Naive	Prec@100	0.0
18	0.2	-inf	-inf	Naive	Prec@200	0.01
18	0.2	-inf	-inf	Naive	AveP	0.025654395456188125
18	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
18	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.18
18	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06848526094747054
18	0.2	-inf	-inf	mND	Prec@100	0.19
18	0.2	-inf	-inf	mND	Prec@200	0.17
18	0.2	-inf	-inf	mND	AveP	0.08923585908525374
18	0.2	-inf	-inf	RWR	Prec@100	0.22
18	0.2	-inf	-inf	RWR	Prec@200	0.195
18	0.2	-inf	-inf	RWR	AveP	0.08759015432889548
19	0.2	-inf	-inf	Naive	Prec@100	0.0
19	0.2	-inf	-inf	Naive	Prec@200	0.01
19	0.2	-inf	-inf	Naive	AveP	0.02599090457838439
19	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
19	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.19
19	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07319702877886065
19	0.2	-inf	-inf	mND	Prec@100	0.19
19	0.2	-inf	-inf	mND	Prec@200	0.19
19	0.2	-inf	-inf	mND	AveP	0.09353774710663426
19	0.2	-inf	-inf	RWR	Prec@100	0.22
19	0.2	-inf	-inf	RWR	Prec@200	0.2
19	0.2	-inf	-inf	RWR	AveP	0.09215770830138702
20	0.2	-inf	-inf	Naive	Prec@100	0.0
20	0.2	-inf	-inf	Naive	Prec@200	0.01
20	0.2	-inf	-inf	Naive	AveP	0.02596502162246893
