idx	rho	beta	gamma	method	metric	perf
7	0.2	-inf	-inf	mND	Prec@200	0.145
7	0.2	-inf	-inf	mND	AveP	0.08668704114344303
7	0.2	-inf	-inf	RWR	Prec@100	0.18
7	0.2	-inf	-inf	RWR	Prec@200	0.15
7	0.2	-inf	-inf	RWR	AveP	0.08078283813774656
8	0.2	-inf	-inf	Naive	Prec@100	0.0
8	0.2	-inf	-inf	Naive	Prec@200	0.0
8	0.2	-inf	-inf	Naive	AveP	0.037439748543662305
8	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
8	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
8	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07000509701334866
8	0.2	-inf	-inf	mND	Prec@100	0.2
8	0.2	-inf	-inf	mND	Prec@200	0.19
8	0.2	-inf	-inf	mND	AveP	0.09769889889943782
8	0.2	-inf	-inf	RWR	Prec@100	0.25
8	0.2	-inf	-inf	RWR	Prec@200	0.185
8	0.2	-inf	-inf	RWR	AveP	0.09148967746229314
9	0.2	-inf	-inf	Naive	Prec@100	0.0
9	0.2	-inf	-inf	Naive	Prec@200	0.0
9	0.2	-inf	-inf	Naive	AveP	0.03679481830164182
9	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.18
9	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
9	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06505463821818008
9	0.2	-inf	-inf	mND	Prec@100	0.19
9	0.2	-inf	-inf	mND	Prec@200	0.165
9	0.2	-inf	-inf	mND	AveP	0.09151155104160755
9	0.2	-inf	-inf	RWR	Prec@100	0.22
9	0.2	-inf	-inf	RWR	Prec@200	0.15
9	0.2	-inf	-inf	RWR	AveP	0.0846288035563159
10	0.2	-inf	-inf	Naive	Prec@100	0.0
10	0.2	-inf	-inf	Naive	Prec@200	0.0
10	0.2	-inf	-inf	Naive	AveP	0.0374037479328983
10	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
10	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.12
10	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0635225500919163
10	0.2	-inf	-inf	mND	Prec@100	0.18
10	0.2	-inf	-inf	mND	Prec@200	0.155
10	0.2	-inf	-inf	mND	AveP	0.08632193658301324
