id	name	prior	degree	curv_mean	curv_std
ENSP00000054950	RCN1	False	113.0	35.21238938053097	98.94348537337201
ENSP00000055077	RFC2	False	161.0	-151.59006211180125	196.14218673392608
ENSP00000055335	PPP1R3F	False	8.0	-54.0	76.94965886863957
ENSP00000055682	NEXMIF	False	1.0	-114.0	0.0
ENSP00000056217	ARHGEF5	False	29.0	-206.3448275862069	236.5834803254473
ENSP00000056233	NFE2L3	False	4.0	-25.5	31.468237955119125
ENSP00000061240	TLL1	False	19.0	-52.73684210526316	32.401822731807705
ENSP00000064724	CLDN11	False	21.0	19.333333333333332	5.176258377790931
ENSP00000064780	RELT	False	5.0	-69.6	112.19732617134868
ENSP00000070846	PKP2	False	34.0	11.764705882352942	22.548064770917588
ENSP00000072644	YIPF1	False	2.0	-24.5	25.5
ENSP00000074304	INPP4A	False	32.0	-80.8125	110.1727159679292
ENSP00000075120	SLC2A3	False	113.0	26.061946902654867	84.5087085825956
ENSP00000078429	GNA11	True	190.0	-9.447368421052632	169.8555264378991
ENSP00000078445	CREB3L3	False	23.0	-104.65217391304348	140.47825414126717
ENSP00000080059	HDAC7	False	81.0	-119.96296296296296	108.00405164375903
ENSP00000081029	MRPS35	False	94.0	83.1063829787234	21.782516942813686
ENSP00000083182	APPBP2	False	3.0	-61.666666666666664	85.79950789809669
ENSP00000085068	ISOC2	False	1.0	-44.0	0.0
ENSP00000085219	CD22	False	14.0	-87.85714285714286	73.93226353789483
ENSP00000155840	KCNQ1	False	30.0	-97.56666666666666	119.725709668206
ENSP00000155926	TRIB2	False	5.0	-149.2	143.87133140414042
ENSP00000156084	OTUD5	False	10.0	-466.7	513.8813189832842
ENSP00000156109	GPKOW	False	177.0	102.71751412429379	92.17153854696258
ENSP00000156471	AQR	False	231.0	-11.441558441558442	211.6166688849255
ENSP00000156626	ST6GALNAC1	False	26.0	-29.384615384615383	15.925492198834796
ENSP00000157600	LMCD1	False	1.0	-12.0	0.0
ENSP00000157812	PSMC4	False	212.0	-132.0990566037736	206.43369943703703
ENSP00000158166	CAMKK1	False	9.0	-44.44444444444444	32.900898708127556
ENSP00000158762	ACAP1	False	8.0	-133.875	107.72005094224566
ENSP00000158771	DERL2	False	38.0	-169.68421052631578	360.78869054389264
ENSP00000159060	NOX3	False	7.0	-90.42857142857143	165.68115432347514
ENSP00000159087	ANO8	False	106.0	56.43396226415094	81.50124653149334
ENSP00000159111	KDM4B	False	48.0	-284.9583333333333	291.3218408059299
ENSP00000160262	ICAM3	False	8.0	-58.875	63.29975809590429
ENSP00000160373	CTTNBP2	False	26.0	-96.07692307692308	132.286961703285
ENSP00000160382	ACTL6B	False	39.0	-54.05128205128205	73.801170415967
ENSP00000160827	KIF22	False	114.0	-5.956140350877193	85.62119658356426
ENSP00000161559	CEACAM1	False	117.0	11.752136752136753	103.2320352106113
ENSP00000161863	YTHDC2	False	1.0	-76.0	0.0
ENSP00000162749	TNFRSF1A	False	91.0	-160.45054945054946	244.16564651739716
ENSP00000163416	GOLGA5	True	27.0	-65.37037037037037	65.68564201200664
ENSP00000164133	PPP2R5B	False	214.0	-171.8785046728972	194.85919720201198
ENSP00000164139	PYGM	False	24.0	-30.041666666666668	34.34807025955833
ENSP00000164227	BCL3	True	11.0	-220.36363636363637	134.35250292168848
ENSP00000164305	PIGB	False	9.0	-1.8888888888888888	6.2440094747676085
ENSP00000165524	PRLH	False	1.0	1.0	0.0
ENSP00000166139	FSTL3	True	109.0	48.77981651376147	85.07291613972563
ENSP00000166244	EPHA8	False	28.0	-30.428571428571427	57.06977469443409
ENSP00000166345	TRIP13	False	7.0	-223.28571428571428	191.49913411644172
ENSP00000167586	KRT14	False	55.0	39.527272727272724	72.24223256025006
ENSP00000167588	KRT20	False	53.0	53.471698113207545	1.1912221975595922
ENSP00000168148	SPP2	False	119.0	28.689075630252102	88.0143941530994
ENSP00000168216	HSD17B10	False	37.0	-66.37837837837837	69.09701419267924
ENSP00000168712	FGF4	False	65.0	-164.07692307692307	299.80805693963123
ENSP00000169298	ST6GAL1	False	20.0	-41.5	19.668502739151243
ENSP00000169551	TIMM21	False	33.0	-8.757575757575758	33.94650899445961
ENSP00000170150	BPIFB2	False	106.0	56.43396226415094	81.50124653149335
ENSP00000170168	REXO1	False	4.0	-49.25	55.55346523845295
ENSP00000170447	MKRN2	False	2.0	-18.5	19.5
ENSP00000170564	GPATCH1	False	10.0	-139.2	164.71781931533698
ENSP00000171111	KEAP1	True	314.0	124.56687898089172	194.51904672792526
ENSP00000171757	P2RY10	False	157.0	61.69426751592356	144.51608961711295
ENSP00000171887	TNS1	False	25.0	-140.72	139.39857101132708
ENSP00000172229	NGFR	False	99.0	-226.8181818181818	248.86507494625948
ENSP00000173229	NTN1	False	38.0	-160.76315789473685	157.19003487407178
ENSP00000173898	TRO	False	2.0	-50.5	53.5
ENSP00000174618	MNT	False	3.0	-58.666666666666664	72.37095795659717
ENSP00000175091	LAPTM4A	False	2.0	0.0	0.0
ENSP00000175506	ASNS	False	23.0	-28.434782608695652	18.869865755971695
ENSP00000175756	PTPN18	False	7.0	-179.57142857142858	138.71950850841537
ENSP00000176183	DRD4	False	225.0	165.58666666666667	106.77649678963377
ENSP00000176195	SCT	False	116.0	15.913793103448276	167.73314031959944
ENSP00000176763	STK10	False	88.0	30.988636363636363	65.82837435990477
ENSP00000177694	TBX21	False	3.0	-109.33333333333333	31.008959278820623
ENSP00000177742	MRPS34	False	93.0	81.34408602150538	26.561551411993147
ENSP00000178640	MAP2K5	False	9.0	-63.77777777777778	37.39809198275518
ENSP00000179259	TIGAR	False	15.0	-48.53333333333333	161.5767585047085
ENSP00000180166	FGF20	False	63.0	-165.76190476190476	304.62621979542087
ENSP00000180173	MTMR7	False	11.0	-39.63636363636363	47.79553559842694
ENSP00000181383	CPB2	False	8.0	-238.0	134.21251804507656
ENSP00000181839	CDK13	False	24.0	-125.16666666666667	147.76153837254884
ENSP00000183605	CLDN18	False	21.0	19.333333333333332	5.176258377790931
ENSP00000184183	ROPN1	False	6.0	-73.5	159.88824221937023
ENSP00000184266	NDUFB4	False	68.0	37.51470588235294	32.07917257581294
ENSP00000185150	ERLEC1	False	27.0	-238.1851851851852	415.37292811418376
ENSP00000185206	CLIC5	False	4.0	-19.25	32.18986641786511
ENSP00000188312	ACTR6	False	9.0	-82.33333333333333	104.72821969268838
ENSP00000188790	FAP	False	2.0	-193.0	69.0
ENSP00000194214	HSPB11	False	38.0	-0.13157894736842105	84.05517331291881
