id	prior	degree	curv_mean	curv_std
A0PJW8	False	7.0	-179.57142857142858	116.17333987606273
A0PJX0	False	9.0	-183.66666666666666	163.456416209337
A0PJX2	False	6.0	-440.0	796.4730587617721
A0PJX4	False	7.0	-171.28571428571428	222.97387052920692
A0PJX8	False	4.0	-58.25	20.116846174288852
A0PJY2	False	7.0	-288.0	171.94683563739778
A0PJZ0	False	1.0	-986.0	0.0
A0PJZ3	False	10.0	-366.6	641.8537528128975
A0PK00	False	79.0	-230.53164556962025	314.8092786274736
A0PK05	False	10.0	-85.2	72.79670322205533
A0PK11	False	12.0	-79.0	59.060703235456536
A1A4F0	False	1.0	-697.0	0.0
A1A4G5	False	9.0	-177.11111111111111	121.90200476379418
A1A4S6	False	25.0	-522.92	719.4490625471688
A1A4V9	False	2.0	-302.0	294.0
A1A4Y4	False	16.0	-169.0	173.9238339043847
A1A512	False	5.0	-259.8	134.47735868911167
A1A519	False	14.0	-167.35714285714286	157.6934671818612
A1A580	False	8.0	-173.0	97.51281967003108
A1A5B4	False	3.0	-197.66666666666666	27.182510717166817
A1A5C7	False	29.0	-217.86206896551724	319.755588141073
A1A5D9	False	7.0	-296.14285714285717	425.85524991192835
A1E959	False	15.0	-361.2	651.3674027254768
A1IGU5	False	2.0	-865.5	830.5
A1KXE4	False	60.0	-244.03333333333333	343.443006754962
A1KZ92	False	7.0	-282.0	407.56103837339504
A1L020	False	36.0	-315.72222222222223	387.5375688677817
A1L0T0	False	79.0	-502.3544303797468	619.9814214851127
A1L157	False	12.0	-319.5	748.7357678113154
A1L162	False	7.0	-380.2857142857143	327.2171468986456
A1L167	False	1.0	-307.0	0.0
A1L168	False	8.0	-136.875	61.57807544085801
A1L170	False	18.0	-629.8333333333334	824.5274235719647
A1L188	False	50.0	-224.24	157.463463698726
A1L190	False	53.0	-194.75471698113208	174.21391163179814
A1L390	False	51.0	-578.843137254902	661.4018793308003
A1L3X0	False	14.0	-276.92857142857144	645.162710848502
A1L3X4	False	3.0	-352.3333333333333	243.3164377696026
A1L429	False	2.0	-85.0	57.0
A1L443	False	20.0	-195.4	222.41726551686585
A1L453	False	1.0	-458.0	0.0
A1L4H1	False	20.0	-149.95	102.05707961724164
A1L4K1	False	96.0	-212.63541666666666	108.09246811099463
A1L4L8	False	1.0	-179.0	0.0
A1X283	False	21.0	-448.85714285714283	689.9451521136807
A1XBS5	False	9.0	-240.88888888888889	245.22028393736312
A1YPR0	False	7.0	-495.7142857142857	529.5309823083913
A1Z1Q3	False	6.0	-774.5	930.5705687014464
A2A288	False	1.0	-28.0	0.0
A2A2V5	False	14.0	-291.42857142857144	682.7217289523408
A2A2Y4	False	25.0	-164.2	320.75747847867865
A2A2Z9	False	2.0	-2024.5	770.5
A2A368	False	1.0	-41.0	0.0
A2A3K4	False	65.0	-302.67692307692306	313.7614531255483
A2A3N6	False	24.0	-712.0833333333334	872.3304475496783
A2AJT9	False	2.0	-283.0	157.0
A2IDD5	False	3.0	-138.0	89.22256814655509
A2J422	False	1.0	-165.0	0.0
A2JGV3	False	1.0	-2736.0	0.0
A2NFR5	False	1.0	-2153.0	0.0
A2NJV5	False	1.0	-203.0	0.0
A2NYE6	False	7.0	-421.14285714285717	352.1766718044586
A2PYH4	False	2.0	-1141.5	1076.5
A2RRD8	False	5.0	-777.0	475.4442133415865
A2RRG2	False	1.0	-277.0	0.0
A2RRH5	False	6.0	-937.6666666666666	655.2711058960423
A2RRL7	False	9.0	-113.22222222222223	88.5522793204077
A2RRP1	False	42.0	-532.547619047619	738.6104457625611
A2RTX5	False	42.0	-383.4761904761905	681.8259182272553
A2RTY3	False	2.0	-174.5	151.5
A2RU14	False	72.0	-158.02777777777777	143.59926611370636
A2RU30	False	14.0	-383.7857142857143	356.47143315146764
A2RU48	False	6.0	-262.5	191.87039896763648
A2RU49	False	7.0	-369.0	548.7041878045818
A2RU54	False	2.0	-45.5	18.5
A2RU56	False	20.0	-370.75	219.7161521144952
A2RU67	False	50.0	-151.68	150.37332742211962
A2RUB1	False	6.0	-390.5	477.60225781152525
A2RUB6	False	19.0	-296.1578947368421	298.3791764919076
A2RUC4	False	11.0	-83.18181818181819	65.46868534139492
A2RUH7	False	20.0	-232.85	121.26181385745474
A2RUQ5	False	4.0	-224.5	172.71435956515023
A2RUR9	False	2.0	-31.5	17.5
A2RUS2	False	5.0	-979.6	834.0876692530588
A2RUT3	False	1.0	-51.0	0.0
A2RUU4	False	12.0	-50.916666666666664	21.66201873223166
A2VCK2	False	19.0	-233.0	237.29506393606474
A2VDF0	False	17.0	-157.52941176470588	168.57050109918535
A2VDJ0	False	18.0	-447.6111111111111	750.2399718970584
A2VEC9	False	6.0	-501.8333333333333	586.3256821558779
A3F768	False	1.0	-2153.0	0.0
A3KMH1	False	271.0	-283.4612546125461	352.39187629208294
A3KN83	False	30.0	-694.5333333333333	874.8839440494696
A4D0S4	False	3.0	-285.3333333333333	340.59588305726123
A4D0T7	False	1.0	-99.0	0.0
A4D0V7	False	1.0	-2736.0	0.0
A4D110	False	3.0	-140.0	82.90154803540563
A4D126	False	1.0	-412.0	0.0
A4D161	False	23.0	-278.04347826086956	237.75114469817598
A4D1B5	False	5.0	-701.4	1020.0769774874835
A4D1E1	False	3.0	-312.0	175.5524612948126
A4D1E9	False	73.0	-373.94520547945206	427.66363976656055
A4D1F6	False	1.0	-106.0	0.0
A4D1I3	False	2.0	-404.5	212.5
A4D1J9	False	1.0	-17.0	0.0
A4D1P6	False	24.0	-784.875	788.7542557994009
A4D1S0	False	49.0	-137.59183673469389	158.71922563578215
A4D1S5	False	10.0	-181.8	137.71042081120802
A4D1T9	False	13.0	-135.30769230769232	171.49002420656095
A4D1U4	False	7.0	-418.42857142857144	752.2307505285969
A4D1Z4	False	1.0	-420.0	0.0
A4D213	False	4.0	-171.5	134.3512188258819
A4D256	False	1.0	-1.0	0.0
A4D263	False	3.0	-126.0	84.17046196063478
A4D2B0	False	15.0	-250.13333333333333	259.0657231068767
A4D2B8	False	5.0	-84.4	76.83124364475691
A4D2H0	False	2.0	-545.5	463.5
A4D2P6	False	6.0	-384.6666666666667	315.7919497953606
A4FU01	False	16.0	-225.75	104.39558180306291
A4FU49	False	5.0	-729.8	639.9573110762935
A4FU69	False	1.0	-281.0	0.0
A4FVC0	False	11.0	-200.27272727272728	115.06527073329127
A4GXA9	False	5.0	-184.0	260.85244871382747
A4PIV7	False	19.0	-260.36842105263156	189.11879044004837
A4PIW0	False	18.0	-340.3888888888889	229.45688021182372
