idx	rho	beta	gamma	method	metric	perf
7	0.2	-inf	-inf	mND	Prec@200	0.135
7	0.2	-inf	-inf	mND	AveP	0.08376914604036353
7	0.2	-inf	-inf	RWR	Prec@100	0.16
7	0.2	-inf	-inf	RWR	Prec@200	0.13
7	0.2	-inf	-inf	RWR	AveP	0.08317061193482614
8	0.2	-inf	-inf	Naive	Prec@100	0.0
8	0.2	-inf	-inf	Naive	Prec@200	0.0
8	0.2	-inf	-inf	Naive	AveP	0.03556174725563248
8	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
8	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.145
8	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07471715560508806
8	0.2	-inf	-inf	mND	Prec@100	0.19
8	0.2	-inf	-inf	mND	Prec@200	0.15
8	0.2	-inf	-inf	mND	AveP	0.08438865035941526
8	0.2	-inf	-inf	RWR	Prec@100	0.17
8	0.2	-inf	-inf	RWR	Prec@200	0.15
8	0.2	-inf	-inf	RWR	AveP	0.08363886081006405
9	0.2	-inf	-inf	Naive	Prec@100	0.0
9	0.2	-inf	-inf	Naive	Prec@200	0.0
9	0.2	-inf	-inf	Naive	AveP	0.035407621862608644
9	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.18
9	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.14
9	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07522061562614592
9	0.2	-inf	-inf	mND	Prec@100	0.2
9	0.2	-inf	-inf	mND	Prec@200	0.14
9	0.2	-inf	-inf	mND	AveP	0.08591284159881193
9	0.2	-inf	-inf	RWR	Prec@100	0.18
9	0.2	-inf	-inf	RWR	Prec@200	0.145
9	0.2	-inf	-inf	RWR	AveP	0.08553409199121981
10	0.2	-inf	-inf	Naive	Prec@100	0.0
10	0.2	-inf	-inf	Naive	Prec@200	0.0
10	0.2	-inf	-inf	Naive	AveP	0.03429234179870454
10	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
10	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.16
10	0.2	-inf	-inf	RWR w/ GDC	AveP	0.0738919673531642
10	0.2	-inf	-inf	mND	Prec@100	0.21
10	0.2	-inf	-inf	mND	Prec@200	0.155
10	0.2	-inf	-inf	mND	AveP	0.08340680041120786
10	0.2	-inf	-inf	RWR	Prec@100	0.19
10	0.2	-inf	-inf	RWR	Prec@200	0.16
10	0.2	-inf	-inf	RWR	AveP	0.08326769327808001
11	0.2	-inf	-inf	Naive	Prec@100	0.0
11	0.2	-inf	-inf	Naive	Prec@200	0.0
11	0.2	-inf	-inf	Naive	AveP	0.03424156905893471
11	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.2
11	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.15
11	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07556500316108909
11	0.2	-inf	-inf	mND	Prec@100	0.21
11	0.2	-inf	-inf	mND	Prec@200	0.145
11	0.2	-inf	-inf	mND	AveP	0.08520515332556375
11	0.2	-inf	-inf	RWR	Prec@100	0.19
11	0.2	-inf	-inf	RWR	Prec@200	0.155
11	0.2	-inf	-inf	RWR	AveP	0.08509344499443769
12	0.2	-inf	-inf	Naive	Prec@100	0.0
12	0.2	-inf	-inf	Naive	Prec@200	0.0
12	0.2	-inf	-inf	Naive	AveP	0.034163662477953126
12	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
