id	name	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
ENSG00000000003		12.90899550345446	13.639910300044313	12.872017237524275	12.78527366009888	13.616933258558591	13.53389320555276	7.165603109340634	7.533031202919159	7.645519969926089	7.966004830514689
ENSG00000000005		7.540225352633266	7.84040871267094	7.221621678013194	7.005357119821101	7.4937387352574945	7.258289993377378	4.347262770457065	4.378361420669816	4.387880486521024	4.4158753014110985
ENSG00000000419	DPM1	13.16159704130083	12.691892227842361	13.242821218440303	13.287115602555508	12.774181737251432	12.817959044509967	7.303618614093409	7.121504809283895	7.174813385179118	7.050567925774392
ENSG00000000457	SCYL3	11.010785235445773	11.507059960994962	10.81660785683457	10.622604211502594	11.302944299039709	11.099723077886265	4.4327128181871	4.549036768944151	4.570214647571285	4.662294720265683
ENSG00000000938	FGR	14.203386285669756	14.85390131155798	14.729922628628746	15.177779080220203	15.434616407037161	15.926611467956116	9.89980214761445	10.84950943973339	10.977309386476131	11.76974853353807
ENSG00000000971	CFH	7.718178768032999	8.146962267482234	7.524630709950506	7.374483389467802	7.935605400668892	7.771634284536215	3.8142738040247646	3.8937977240194273	3.9089207518223787	3.9773020711821387
ENSG00000001036	FUCA2	8.652592847718434	8.960125850407742	8.35691917568031	8.099705215888486	8.648741932527628	8.377195334330372	4.454896588835084	4.467394258252568	4.4814322478087645	4.490659656362242
ENSG00000001084		5.988136507530357	6.077214907606469	5.732610224816669	5.511245056601985	5.8101599016365535	5.58085583567612	3.3540029090000147	3.341070995021706	3.355600630396357	3.3416772436890683
ENSG00000001460		4.36005854183587	4.41371528250043	4.201244179829281	4.144061822330507	4.234939229835137	4.170650544477821	3.9377268944638546	3.937871990115355	3.9379360124652525	3.938109068598829
ENSG00000001461		6.061310670816914	6.099210345635606	5.886437984233685	5.73164169011405	5.926575553939138	5.772604108961058	3.957389281510343	3.9618500905212994	3.977408858769951	3.9771771552501236
ENSG00000001497	LAS1L	13.4005062007317	13.157727615897981	13.422968441091111	13.422172693713629	13.175913138836322	13.167809547791306	7.196832288738654	7.17227554694714	7.1744857638595905	7.113670855835926
ENSG00000001561	ENPP4	6.55414285226079	6.802998100033389	6.340350898665303	6.18090622581938	6.570292667184655	6.396575618083035	4.2352967334618	4.251847376331895	4.254991831614155	4.270625278523461
ENSG00000001617	SEMA3F	6.446566500931084	6.45083866919062	6.302086584053769	6.175146890461048	6.3075656391771835	6.1814071443537175	5.413174328117202	5.413073097082159	5.417377900887742	5.41547686346684
ENSG00000001626	CFTR	97.46508325623901	80.92025283094468	96.68154000337805	95.78835605981409	80.32573633047117	79.65955041110614	97.76098157005647	95.45903004763684	98.0733827957025	88.71773951738948
ENSG00000001629		5.045391621435819	4.844623697617164	4.965351570121165	4.868260369487268	4.783705151242289	4.708081400655204	4.163149628726734	4.133637281542079	4.13697290801745	4.122448514032284
ENSG00000001630	CYP51A1	16.626061712641587	17.250191133246044	16.04027794922047	15.529332220813789	16.646229075593837	16.119681551072095	5.673850695768789	5.825521016767564	5.930888560605171	6.025260763479988
ENSG00000001631	KRIT1	6.939507510830482	7.4475875107571206	6.83644323654951	6.728156123677295	7.331605700983243	7.211694023658597	3.362899150511891	3.4994795370422427	3.5583667931035126	3.6623695816377686
ENSG00000002016	RAD52	9.472682556027657	9.786259476449763	9.731766948209353	9.989586292782084	10.074981640322738	10.360641722010834	5.201806327444995	5.6995947889712	5.688338928413555	6.072722123816843
ENSG00000002330	BAD	12.697942234870107	13.484058550634119	12.950334457976677	13.145068120370489	13.770757358330162	13.996802150976697	5.858495697712956	6.832061796414669	6.999848424201552	7.82242422069477
ENSG00000002549	LAP3	11.542642210195428	12.107396116325896	11.361860836227452	11.181220179575265	11.922134079136296	11.7353078101362	3.6305809200758783	3.7157195408406487	3.718585717850363	3.821121178206399
ENSG00000002586	CD99	8.445376740303473	8.504250318484761	8.31955207861795	8.186407964646966	8.382194587573032	8.252284500580643	4.092324581075432	4.134838623300615	4.1700560555996935	4.186874980984828
ENSG00000002726	AOC1	5.700333279412736	5.8307465088491375	5.595954382332323	5.531898735740103	5.715600716224742	5.645110522463955	4.56691299645858	4.5795552505386405	4.585689590700397	4.596201205911259
ENSG00000002745	WNT16	5.671923055414194	6.090992109076381	5.5426073799089	5.436527455469791	5.951939119622328	5.838028526784039	2.227564510969473	2.322372322594125	2.3568430435490315	2.44177330857501
ENSG00000002822	MAD1L1	17.72833395156218	18.417276262575317	17.50105985229653	17.28043271573526	18.18189567902191	17.952597782587297	7.283188438974283	7.5865630325589954	7.62369755975654	7.863839838457448
ENSG00000002834	LASP1	28.602716862515262	29.105803931738357	31.42309852210569	33.75540975925717	31.98079659116753	34.36391667871481	121.19561422562433	133.1089266110648	138.94838824584966	146.5131039503983
ENSG00000002919		9.12621133315978	9.860449636362798	8.851525879012064	8.666747923422752	9.549721939712166	9.341100161191223	4.055455218792958	4.187541801105347	4.199571654644609	4.322897322568293
ENSG00000002933		5.867244198613973	6.130421486007632	5.647564715159095	5.498886486915865	5.887013643124557	5.7224276920673365	3.7404331343116626	3.759922530639623	3.765090488796998	3.781274073770442
ENSG00000003056	M6PR	8.032327283443559	8.356131702305015	7.816769294605887	7.639983275553787	8.131815987309016	7.9497605845485015	3.432651810652053	3.498698064431813	3.5205585800028327	3.5783667084907775
