id	name	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
ENSP00000000233	ARF5	22.90850130739179	23.610129487779517	22.649585949693954	22.123020256810626	23.42452134657491	22.944443810622236	8.751548529761857	9.063901868271525	9.410206763734896	9.709763364145736
ENSP00000000412	M6PR	22.78625412620595	23.626599246779048	23.235999014319862	23.408077401435307	24.211661104809007	24.468492806946276	14.908171706441305	16.906097018667623	16.980510973415715	18.64723050287325
ENSP00000001008	FKBP4	17.650668714818366	17.935185889499017	18.18858108174248	18.520822207443288	18.497063790743475	18.851459098138648	13.790634929316953	14.465783460938693	14.076962117284632	14.759702283986014
ENSP00000001146	CYP26B1	11.587882736690526	11.758236739855855	10.900477652588958	10.525662669763998	11.078800760147947	10.708503290034743	8.419242378777763	8.464847693702664	8.544436030696978	8.584085644528136
ENSP00000002125	NDUFAF7	13.90750015247617	14.268321653240907	12.909781740770669	12.143058206401339	13.296044924830502	12.544237055734607	4.831108348798388	4.858471561929255	4.928163892198078	4.956399213682526
ENSP00000002165	FUCA2	29.290896601431776	29.20694597189876	29.29806824564983	28.927296186451365	29.321844402063125	29.034966338846345	14.505521414211692	15.19787014446364	16.083369771040363	16.578554976220126
ENSP00000002596	HS3ST1	5.787160947694838	5.8678257700509	5.797736151690666	5.759041908549764	5.882442657091517	5.84676203235428	3.7949273516521105	3.8524144747434117	3.8873874384530147	3.9325103029671404
ENSP00000002829	SEMA3F	7.925911440817071	8.189738999015672	7.488487404377839	7.138803114412152	7.7192205949159245	7.338855259628858	5.411044318252592	5.416577567559556	5.417886144587761	5.424290940257191
ENSP00000003084	CFTR	60.16845483615111	53.759229637232075	67.967309164435	72.29525675492019	61.21071343259429	65.30020813705654	94.45062378111915	95.42871636148008	95.52835591948691	93.74239839488261
ENSP00000003100	CYP51A1	8.997084762826766	9.36120975549185	8.149639391026884	7.514845655748605	8.501404003470663	7.847774116693285	4.311808934157359	4.349700101681793	4.344402990211618	4.387878586717043
ENSP00000003302	USP28	5.078697978301773	5.10748348345403	5.147425867588902	5.1451658056069505	5.176883338781937	5.182937807072371	3.5126134759737404	3.551639479269134	3.523273411920423	3.5686036214860497
ENSP00000005178	PDK4	11.781630445356583	12.054147920815359	11.245044758479276	10.762131479937137	11.513150524028694	11.015189429227968	7.642260273496119	7.654001846130198	7.663607460937379	7.676291769851377
ENSP00000005226	USH1C	35.508970435994584	36.05794253971922	29.0720554448792	27.57506787717234	29.403820382423035	27.82688463725042	27.223563838141384	27.329469023776202	27.30496750305806	27.422303519268247
ENSP00000005257	RALA	24.09112010501994	24.329890577919574	24.077147111144196	23.979688219412733	24.37090870628464	24.291760731831758	16.5430861483534	17.482782412652234	17.30883664249847	18.062735675685513
ENSP00000005260	BAIAP2L1	5.943334085344811	6.067161966777381	5.848437411291137	5.7616034449364255	5.950433747301335	5.846006253943737	5.230943504371803	5.2413634724482625	5.244396377911853	5.253675685261139
ENSP00000005284	CACNG3	17.37874052473144	18.60065031076446	16.70436561679433	15.980325619188552	17.928865444242984	17.154865864108714	5.798976374327551	6.50280677319708	6.457992961476963	7.206935317649501
ENSP00000005286	TMEM132A	20.276092921571557	21.424603996160638	20.206847098675393	20.053584196987575	21.391274481912234	21.25168450639623	10.830200517642036	11.343321366200945	11.605314703837129	12.11789075394878
ENSP00000005340	DVL2	50.44112689584905	45.636562653803985	51.19113571554272	51.18135346923248	46.423817346242096	46.45420191941063	56.85459998896342	56.59079018686864	57.41870050710408	54.39598376551939
ENSP00000005386	RPAP3	8.949469337542688	9.276650799782507	8.61831495724702	8.15729835581125	8.92828354733005	8.438582497185923	4.582870120740745	4.586882503116341	4.610620066789421	4.612025431074339
ENSP00000005587	SKAP2	5.6786816008901	5.64945171407426	5.557822177843021	5.423279312955522	5.526931139308183	5.392270062022434	4.614063124018956	4.61430139222656	4.623834413345691	4.621417702936227
ENSP00000005995	PRSS21	10.79191619026856	11.046346452698046	10.038092178393295	9.409320092668281	10.325049705799243	9.715674010753453	2.230573316580448	2.2728979787437256	2.326276367724794	2.371290706433824
ENSP00000006015	HOXA11	3.9359401086122823	4.008760588953525	7.135114117470988	8.408773943220911	7.5680831215595195	8.961750262098407	6.20114788364535	6.56984818181095	6.910270815684692	7.188594835402998
ENSP00000006053	CX3CL1	18.265041422325456	18.53118036032997	18.333623183894623	19.196327185722566	18.561108295058567	19.458637947772985	8.873334127825919	9.275267897143003	10.240694027649944	10.67133343526362
ENSP00000006275	TRAPPC6A	14.306774645940925	14.804840072617754	13.906454085969909	13.469759854841069	14.427919152981385	14.002945775736285	6.469473507044982	6.655961687266259	6.73691515531097	6.922699670321608
ENSP00000006526	WDR54	8.7384507733867	8.867205083456213	5.882313804823305	5.384263925201508	5.910637861970951	5.397302090197113	4.915137688594601	4.9259470247775194	4.915961675811643	4.9269939591081755
ENSP00000006724	CEACAM7	13.23671893208248	13.49095028399024	12.483289363448566	11.854858551647542	12.770024784588196	12.16096590989908	4.692354544890645	4.734429068579705	4.787638007166428	4.832401380005209
ENSP00000006777	RHBDD2	5.676237314180822	5.696992662384757	5.347228413692995	5.255754342301125	5.3567234939862205	5.261794558817506	5.119183599144519	5.119418730128687	5.119321126218486	5.119563207488881
